P_ID,STIMULI,POOL,DEPTH,LOC,ORDER,FIRST,OTH_1,OTH_2,OTH_3,OTH_4,OTH_5,OTH_6,OTH_7,OTH_8,PROP_SAME,FIRST_IT
p004,1,prolific,3,L,f,A,1,1,1,1,1,0,0,0,0.625,I09
p006,3,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p011,1,prolific,3,L,f,A,0,1,0,0,1,1,0,1,0.5,I09
p012,1,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p014,2,prolific,3,L,f,A,1,1,1,1,0,0,0,0,0.5,I09
p016,3,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p028,1,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p029,2,prolific,2,L,f,A,1,1,1,1,0,0,0,0,0.5,I09
p032,2,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p034,1,prolific,2,L,f,A,1,1,1,1,1,1,1,0,0.875,I09
p038,4,prolific,3,L,f,A,0,0,0,0,0,0,0,0,0.0,I09
p040,2,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p048,3,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p051,4,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p052,1,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p057,2,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p058,3,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p059,4,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p067,1,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p068,4,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p070,2,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p074,3,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p078,2,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p083,2,prolific,2,L,f,A,1,0,0,0,0,0,0,0,0.125,I09
p086,2,prolific,3,L,f,A,1,1,1,1,0,0,0,0,0.5,I09
p088,4,prolific,2,L,f,A,1,0,0,0,0,0,0,0,0.125,I09
p092,1,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p096,4,prolific,3,L,f,A,1,0,0,0,0,0,0,0,0.125,I09
p099,3,prolific,2,L,f,A,1,1,0,0,0,0,0,0,0.25,I09
p101,3,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p104,4,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p107,2,prolific,3,L,f,A,1,1,1,1,1,1,0,0,0.75,I09
p113,4,prolific,3,L,f,A,1,0,0,0,0,0,0,0,0.125,I09
p115,2,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p118,1,prolific,3,L,f,A,1,1,1,1,1,1,1,0,0.875,I09
p120,2,prolific,2,L,f,A,1,0,1,0,0,0,0,0,0.25,I09
p121,4,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p124,1,prolific,2,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p126,3,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p130,2,prolific,2,L,f,A,1,1,1,1,1,1,0,0,0.75,I09
p133,4,prolific,3,L,f,A,1,1,1,1,1,1,1,0,0.875,I09
p134,4,prolific,2,L,f,A,1,1,1,1,1,0,0,0,0.625,I09
p139,2,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
p143,2,prolific,3,L,f,A,1,0,1,0,0,0,0,0,0.25,I09
p148,1,prolific,3,L,f,A,1,1,1,1,1,1,1,1,1.0,I09
