P_ID,STIMULI,POOL,DEPTH,LOC,ORDER,FIRST,FIRST_IT,ITEM,SAME
p004,1,prolific,3,L,f,A,I09,I10,1
p006,3,prolific,2,L,f,A,I09,I10,1
p011,1,prolific,3,L,f,A,I09,I10,0
p012,1,prolific,2,L,f,A,I09,I10,1
p014,2,prolific,3,L,f,A,I09,I10,1
p016,3,prolific,2,L,f,A,I09,I10,1
p028,1,prolific,3,L,f,A,I09,I10,1
p029,2,prolific,2,L,f,A,I09,I10,1
p032,2,prolific,3,L,f,A,I09,I10,1
p034,1,prolific,2,L,f,A,I09,I10,1
p038,4,prolific,3,L,f,A,I09,I10,0
p040,2,prolific,2,L,f,A,I09,I10,1
p048,3,prolific,2,L,f,A,I09,I10,1
p051,4,prolific,3,L,f,A,I09,I10,1
p052,1,prolific,2,L,f,A,I09,I10,1
p057,2,prolific,3,L,f,A,I09,I10,1
p058,3,prolific,2,L,f,A,I09,I10,1
p059,4,prolific,2,L,f,A,I09,I10,1
p067,1,prolific,2,L,f,A,I09,I10,1
p068,4,prolific,3,L,f,A,I09,I10,1
p070,2,prolific,3,L,f,A,I09,I10,1
p074,3,prolific,3,L,f,A,I09,I10,1
p078,2,prolific,2,L,f,A,I09,I10,1
p083,2,prolific,2,L,f,A,I09,I10,1
p086,2,prolific,3,L,f,A,I09,I10,1
p088,4,prolific,2,L,f,A,I09,I10,1
p092,1,prolific,3,L,f,A,I09,I10,1
p096,4,prolific,3,L,f,A,I09,I10,1
p099,3,prolific,2,L,f,A,I09,I10,1
p101,3,prolific,3,L,f,A,I09,I10,1
p104,4,prolific,2,L,f,A,I09,I10,1
p107,2,prolific,3,L,f,A,I09,I10,1
p113,4,prolific,3,L,f,A,I09,I10,1
p115,2,prolific,2,L,f,A,I09,I10,1
p118,1,prolific,3,L,f,A,I09,I10,1
p120,2,prolific,2,L,f,A,I09,I10,1
p121,4,prolific,3,L,f,A,I09,I10,1
p124,1,prolific,2,L,f,A,I09,I10,1
p126,3,prolific,3,L,f,A,I09,I10,1
p130,2,prolific,2,L,f,A,I09,I10,1
p133,4,prolific,3,L,f,A,I09,I10,1
p134,4,prolific,2,L,f,A,I09,I10,1
p139,2,prolific,3,L,f,A,I09,I10,1
p143,2,prolific,3,L,f,A,I09,I10,1
p148,1,prolific,3,L,f,A,I09,I10,1
p152,4,prolific,3,L,f,A,I09,I10,1
p153,3,prolific,2,L,f,A,I09,I10,1
p155,2,prolific,2,L,f,A,I09,I10,1
r006,1,rep,3,L,f,A,I09,I10,1
r012,1,rep,2,L,f,A,I09,I10,1
r013,1,rep,3,L,f,B,I09,I10,0
r016,2,rep,2,L,f,X,I09,I10,1
r020,2,rep,2,L,f,A,I09,I10,1
r024,1,rep,3,L,f,A,I09,I10,1
r026,2,rep,2,L,f,A,I09,I10,1
r029,1,rep,2,L,f,A,I09,I10,1
r030,1,rep,3,L,f,A,I09,I10,1
r033,1,rep,3,L,f,B,I09,I10,0
r036,2,rep,2,L,f,A,I09,I10,0
r040,2,rep,3,L,f,A,I09,I10,1
r044,2,rep,2,L,f,A,I09,I10,1
r045,2,rep,2,L,f,A,I09,I10,1
r060,3,rep,3,L,f,A,I09,I10,1
r062,2,rep,2,L,f,A,I09,I10,0
r065,1,rep,3,L,f,A,I09,I10,1
r069,1,rep,3,L,f,A,I09,I10,1
r070,2,rep,2,L,f,A,I09,I10,1
r071,1,rep,3,L,f,B,I09,I10,1
r072,2,rep,2,L,f,X,I09,I10,1
p004,1,prolific,3,L,f,A,I09,I11,1
p006,3,prolific,2,L,f,A,I09,I11,1
p011,1,prolific,3,L,f,A,I09,I11,1
p012,1,prolific,2,L,f,A,I09,I11,1
p014,2,prolific,3,L,f,A,I09,I11,1
p016,3,prolific,2,L,f,A,I09,I11,1
p028,1,prolific,3,L,f,A,I09,I11,1
p029,2,prolific,2,L,f,A,I09,I11,1
p032,2,prolific,3,L,f,A,I09,I11,1
p034,1,prolific,2,L,f,A,I09,I11,1
p038,4,prolific,3,L,f,A,I09,I11,0
p040,2,prolific,2,L,f,A,I09,I11,1
p048,3,prolific,2,L,f,A,I09,I11,1
p051,4,prolific,3,L,f,A,I09,I11,1
p052,1,prolific,2,L,f,A,I09,I11,1
p057,2,prolific,3,L,f,A,I09,I11,1
p058,3,prolific,2,L,f,A,I09,I11,1
p059,4,prolific,2,L,f,A,I09,I11,1
p067,1,prolific,2,L,f,A,I09,I11,1
p068,4,prolific,3,L,f,A,I09,I11,1
p070,2,prolific,3,L,f,A,I09,I11,1
p074,3,prolific,3,L,f,A,I09,I11,1
p078,2,prolific,2,L,f,A,I09,I11,1
p083,2,prolific,2,L,f,A,I09,I11,0
p086,2,prolific,3,L,f,A,I09,I11,1
p088,4,prolific,2,L,f,A,I09,I11,0
p092,1,prolific,3,L,f,A,I09,I11,1
p096,4,prolific,3,L,f,A,I09,I11,0
p099,3,prolific,2,L,f,A,I09,I11,1
p101,3,prolific,3,L,f,A,I09,I11,1
p104,4,prolific,2,L,f,A,I09,I11,1
p107,2,prolific,3,L,f,A,I09,I11,1
p113,4,prolific,3,L,f,A,I09,I11,0
p115,2,prolific,2,L,f,A,I09,I11,1
p118,1,prolific,3,L,f,A,I09,I11,1
p120,2,prolific,2,L,f,A,I09,I11,0
p121,4,prolific,3,L,f,A,I09,I11,1
p124,1,prolific,2,L,f,A,I09,I11,1
p126,3,prolific,3,L,f,A,I09,I11,1
p130,2,prolific,2,L,f,A,I09,I11,1
p133,4,prolific,3,L,f,A,I09,I11,1
p134,4,prolific,2,L,f,A,I09,I11,1
p139,2,prolific,3,L,f,A,I09,I11,1
p143,2,prolific,3,L,f,A,I09,I11,0
p148,1,prolific,3,L,f,A,I09,I11,1
p152,4,prolific,3,L,f,A,I09,I11,1
p153,3,prolific,2,L,f,A,I09,I11,1
p155,2,prolific,2,L,f,A,I09,I11,1
r006,1,rep,3,L,f,A,I09,I11,1
r012,1,rep,2,L,f,A,I09,I11,1
r013,1,rep,3,L,f,B,I09,I11,0
r016,2,rep,2,L,f,X,I09,I11,1
r020,2,rep,2,L,f,A,I09,I11,1
r024,1,rep,3,L,f,A,I09,I11,1
r026,2,rep,2,L,f,A,I09,I11,0
r029,1,rep,2,L,f,A,I09,I11,1
r030,1,rep,3,L,f,A,I09,I11,1
r033,1,rep,3,L,f,B,I09,I11,1
r036,2,rep,2,L,f,A,I09,I11,0
r040,2,rep,3,L,f,A,I09,I11,1
r044,2,rep,2,L,f,A,I09,I11,1
r045,2,rep,2,L,f,A,I09,I11,1
r060,3,rep,3,L,f,A,I09,I11,1
r062,2,rep,2,L,f,A,I09,I11,0
r065,1,rep,3,L,f,A,I09,I11,1
r069,1,rep,3,L,f,A,I09,I11,1
r070,2,rep,2,L,f,A,I09,I11,1
r071,1,rep,3,L,f,B,I09,I11,1
r072,2,rep,2,L,f,X,I09,I11,1
p004,1,prolific,3,L,f,A,I09,I12,1
p006,3,prolific,2,L,f,A,I09,I12,1
p011,1,prolific,3,L,f,A,I09,I12,0
p012,1,prolific,2,L,f,A,I09,I12,1
p014,2,prolific,3,L,f,A,I09,I12,1
p016,3,prolific,2,L,f,A,I09,I12,1
p028,1,prolific,3,L,f,A,I09,I12,1
p029,2,prolific,2,L,f,A,I09,I12,1
p032,2,prolific,3,L,f,A,I09,I12,1
p034,1,prolific,2,L,f,A,I09,I12,1
p038,4,prolific,3,L,f,A,I09,I12,0
p040,2,prolific,2,L,f,A,I09,I12,1
p048,3,prolific,2,L,f,A,I09,I12,1
p051,4,prolific,3,L,f,A,I09,I12,1
p052,1,prolific,2,L,f,A,I09,I12,1
p057,2,prolific,3,L,f,A,I09,I12,1
p058,3,prolific,2,L,f,A,I09,I12,1
p059,4,prolific,2,L,f,A,I09,I12,1
p067,1,prolific,2,L,f,A,I09,I12,1
p068,4,prolific,3,L,f,A,I09,I12,1
p070,2,prolific,3,L,f,A,I09,I12,1
p074,3,prolific,3,L,f,A,I09,I12,1
p078,2,prolific,2,L,f,A,I09,I12,1
p083,2,prolific,2,L,f,A,I09,I12,0
p086,2,prolific,3,L,f,A,I09,I12,1
p088,4,prolific,2,L,f,A,I09,I12,0
p092,1,prolific,3,L,f,A,I09,I12,1
p096,4,prolific,3,L,f,A,I09,I12,0
p099,3,prolific,2,L,f,A,I09,I12,0
p101,3,prolific,3,L,f,A,I09,I12,1
p104,4,prolific,2,L,f,A,I09,I12,1
p107,2,prolific,3,L,f,A,I09,I12,1
p113,4,prolific,3,L,f,A,I09,I12,0
p115,2,prolific,2,L,f,A,I09,I12,1
p118,1,prolific,3,L,f,A,I09,I12,1
p120,2,prolific,2,L,f,A,I09,I12,1
p121,4,prolific,3,L,f,A,I09,I12,1
p124,1,prolific,2,L,f,A,I09,I12,1
p126,3,prolific,3,L,f,A,I09,I12,1
p130,2,prolific,2,L,f,A,I09,I12,1
p133,4,prolific,3,L,f,A,I09,I12,1
p134,4,prolific,2,L,f,A,I09,I12,1
p139,2,prolific,3,L,f,A,I09,I12,1
