P_ID,GENDER,AGE,ATTEMPTS,TOTAL_ERRORS,MINUTES,POOL
p001,woman,61,1,3,20.89687833333326,prolific
p002,man,58,1,3,18.15975,prolific
p003,woman,43,1,0,15.374575,prolific
p004,man,19,1,2,35.86385333333338,prolific
p005,man,31,1,1,47.163464999999604,prolific
p006,woman,57,1,0,23.562811666666715,prolific
p007,woman,49,1,0,21.175121666666865,prolific
p008,woman,69,1,1,21.930318333333233,prolific
p009,woman,34,1,4,43.851036666666666,prolific
p010,man,44,1,2,10.728321666666865,prolific
p011,woman,32,1,2,50.58649166666667,prolific
p012,woman,28,1,1,26.6814649999996,prolific
p013,woman,27,1,1,12.911153333333353,prolific
p014,man,57,1,2,18.254678333333135,prolific
p015,man,59,1,0,15.08611333333254,prolific
p016,woman,50,1,0,14.214573333334922,prolific
p017,woman,37,1,1,10.679131666660309,prolific
p018,woman,60,1,8,14.70272333333095,prolific
p019,woman,41,1,0,12.002723333333309,prolific
p020,man,35,1,0,14.964581666666765,prolific
p021,woman,40,1,0,13.099576666667064,prolific
p022,woman,51,1,5,17.335960000000025,prolific
p023,man,30,1,2,19.252483333333334,prolific
p024,woman,51,2,0,13.045551666665077,prolific
p025,woman,26,1,1,9.84145999999841,prolific
p026,man,32,1,5,9.903705000000013,prolific
p027,man,27,1,0,12.897375,prolific
p028,man,35,1,1,27.181571666666617,prolific
p029,woman,38,1,0,14.204665000000006,prolific
p030,woman,47,1,3,15.562525000000008,prolific
p031,man,42,1,0,16.744061666666468,prolific
p032,woman,30,1,0,21.62431833333373,prolific
p033,man,26,1,1,25.919545000000795,prolific
p034,man,28,1,0,8.970583333333334,prolific
p035,woman,39,1,0,12.337410000000025,prolific
p036,woman,43,1,1,11.449046666666865,prolific
p037,woman,72,1,1,30.897954999999996,prolific
p038,woman,50,1,0,15.320673333334923,prolific
p039,woman,21,1,3,10.368766666666666,prolific
p040,woman,54,1,2,16.60204500000005,prolific
p041,man,25,2,3,36.12154500000002,prolific
p042,woman,58,1,1,20.282270000000796,prolific
p043,man,36,1,0,11.903718333333234,prolific
p044,man,38,1,0,8.71051333333333,prolific
p045,woman,37,1,0,51.32123333333333,prolific
p046,man,39,3,1,19.894366666666667,prolific
p047,woman,36,1,0,11.235551666665078,prolific
p048,man,45,1,1,16.185916666666667,prolific
p049,woman,35,1,1,12.2951,prolific
p050,woman,48,1,0,12.869730000003178,prolific
p051,woman,23,1,1,9.711998333333309,prolific
p052,woman,61,1,0,15.008031666668256,prolific
p053,woman,44,1,0,10.858433333333334,prolific
p054,man,39,2,0,11.620740000000099,prolific
p055,woman,31,1,2,9.446526666666568,prolific
p056,man,52,3,0,18.02698666666746,prolific
p057,woman,27,1,1,30.75526166666746,prolific
p058,woman,35,1,0,12.445691666666667,prolific
p059,man,39,1,0,9.993258333333333,prolific
p060,man,33,1,1,26.654981666676203,prolific
p061,woman,42,1,2,15.814435000000024,prolific
p062,woman,22,1,0,55.12785500000001,prolific
p063,man,46,1,1,12.541293333331744,prolific
p064,man,41,1,2,38.180696666665874,prolific
p065,woman,57,1,2,13.689686666666468,prolific
p066,woman,45,1,0,26.82176833333373,prolific
p067,woman,45,1,0,9.875591666666667,prolific
p068,man,30,1,0,57.912684999999904,prolific
p069,woman,36,1,0,55.02005666666664,prolific
p070,man,37,2,0,31.215960000000397,prolific
p071,man,22,1,4,33.2529,prolific
p072,man,47,1,0,37.130293333333235,prolific
p073,man,66,1,7,19.99221333333353,prolific
p074,man,36,1,2,17.966725,prolific
p075,man,54,2,2,34.316463333332536,prolific
p076,woman,45,1,1,10.439926666667064,prolific
p077,man,31,1,2,29.76205,prolific
