P_ID,STIMULI,POOL,DEPTH,LOC,ORDER,FIRST,FIRST_IT,ITEM,SAME
p1_003,1,prolific1,3,L,f,L,I09,I10,1
p1_007,3,prolific1,2,L,f,L,I09,I10,1
p1_011,1,prolific1,3,L,f,L,I09,I10,0
p1_012,1,prolific1,2,L,f,L,I09,I10,1
p1_013,2,prolific1,3,L,f,L,I09,I10,1
p1_016,3,prolific1,2,L,f,L,I09,I10,1
p1_027,1,prolific1,3,L,f,L,I09,I10,1
p1_029,2,prolific1,2,L,f,L,I09,I10,1
p1_033,2,prolific1,3,L,f,L,I09,I10,1
p1_034,1,prolific1,2,L,f,L,I09,I10,1
p1_037,4,prolific1,3,L,f,L,I09,I10,0
p1_039,2,prolific1,2,L,f,L,I09,I10,1
p1_047,3,prolific1,2,L,f,L,I09,I10,1
p1_051,4,prolific1,3,L,f,L,I09,I10,1
p1_052,1,prolific1,2,L,f,L,I09,I10,1
p1_056,2,prolific1,3,L,f,L,I09,I10,1
p1_058,3,prolific1,2,L,f,L,I09,I10,1
p1_061,4,prolific1,2,L,f,L,I09,I10,1
p1_067,4,prolific1,3,L,f,L,I09,I10,1
p1_068,1,prolific1,2,L,f,L,I09,I10,1
p1_072,2,prolific1,3,L,f,L,I09,I10,1
p1_076,3,prolific1,3,L,f,L,I09,I10,1
p1_078,2,prolific1,2,L,f,L,I09,I10,1
p1_083,2,prolific1,2,L,f,L,I09,I10,1
p1_084,2,prolific1,3,L,f,L,I09,I10,1
p1_088,4,prolific1,2,L,f,L,I09,I10,1
p1_092,1,prolific1,3,L,f,L,I09,I10,1
p1_098,4,prolific1,3,L,f,L,I09,I10,1
p1_099,3,prolific1,2,L,f,L,I09,I10,1
p1_101,3,prolific1,3,L,f,L,I09,I10,1
p1_104,4,prolific1,2,L,f,L,I09,I10,1
p1_109,2,prolific1,3,L,f,L,I09,I10,1
p1_113,4,prolific1,3,L,f,L,I09,I10,1
p1_116,2,prolific1,2,L,f,L,I09,I10,1
p1_119,1,prolific1,3,L,f,L,I09,I10,1
p1_121,2,prolific1,2,L,f,L,I09,I10,1
p1_122,4,prolific1,3,L,f,L,I09,I10,1
p1_124,1,prolific1,2,L,f,L,I09,I10,1
p1_127,3,prolific1,3,L,f,L,I09,I10,1
p1_129,2,prolific1,2,L,f,L,I09,I10,1
p1_134,4,prolific1,3,L,f,L,I09,I10,1
p1_135,4,prolific1,2,L,f,L,I09,I10,1
p1_141,2,prolific1,3,L,f,L,I09,I10,1
