P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE,NUM_L,NUM_R,NUM_X,PROP_L,PROP_R,PROP_X,HAS_X
p1_001,3,R,a,,,,,,,L,L,L,L,L,L,L,L,L,L1,L1,L1,L1,2,1,prolific1,2244.195267510268,9,0,0,1.0,0.0,0.0,0
p1_001,2,C,m,,,,X,X,X,X,X,X,X,R,X,,,,L,L,R,R,0,2,prolific1,2490.8029365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_001,2,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,4,prolific1,2506.9316022866024,0,9,0,0.0,1.0,0.0,0
p1_001,3,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L1,L1,R1,R1,0,3,prolific1,2486.266666666667,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p1_002,2,R,m,,,,,,,X,X,X,X,X,X,X,X,R,X,X,X,R,3,1,prolific1,2347.521613756614,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_002,3,L,a,L,L,L,L,L,L,L,R,R,,,,,,,L1,L1,R1,R1,0,2,prolific1,2527.05,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_002,3,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R1,R3,0,4,prolific1,2496.561111111111,9,0,0,1.0,0.0,0.0,0
p1_002,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2477.903201705702,0,9,0,0.0,1.0,0.0,0
p1_003,2,L,m,L,X,L,R,L,R,X,X,X,,,,,,,L,L,R,R,0,4,prolific1,2430.345264550265,3,2,4,0.3333333333333333,0.2222222222222222,0.4444444444444444,1
p1_003,3,C,a,,,,L,L,L,L,L,L,L,R,R,,,,L1,L1,R1,R1,0,3,prolific1,2482.8034920634923,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_003,3,L,f,L,L,L,L,L,L,X,X,X,,,,,,,L1,L1,R2,R1,0,1,prolific1,2533.333333333334,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p1_003,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,X,X,2,2,prolific1,2468.94878972879,0,9,0,0.0,1.0,0.0,0
p1_004,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_004,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_004,2,C,f,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,4,prolific1,2477.1562578162584,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p1_004,3,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,2,prolific1,2497.738888888889,0,9,0,0.0,1.0,0.0,0
p1_005,2,L,b,R,R,R,R,R,R,R,R,R,,,,,,,L,L,R,X,1,4,prolific1,2356.898757353757,0,9,0,0.0,1.0,0.0,0
p1_005,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_005,3,R,f,,,,,,,X,X,X,X,X,X,R,X,R,L1,L1,R1,R3,0,2,prolific1,2506.072222222222,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p1_005,2,C,a,,,,X,X,X,X,X,X,X,R,X,,,,L,L,R,R,0,3,prolific1,2490.8029365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p1_006,3,L,m,X,X,X,X,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,2,prolific1,2508.088888888889,0,0,9,0.0,0.0,1.0,1
p1_006,3,R,f,,,,,,,X,X,X,X,X,X,R,R,R,L1,L1,R1,R1,0,4,prolific1,2521.7222222222226,0,3,6,0.0,0.3333333333333333,0.6666666666666666,1
p1_006,2,C,a,,,,L,L,L,L,L,L,R,R,L,,,,L,L,R,R,0,3,prolific1,2456.388857808858,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p1_006,2,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
