P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,STIMULI,POOL,SCORE
s000,3,R,a,,,,,,,X1,X1,X1,R3,L3,R3,R1,R3,R2,L3,L1,R1,R1,simulated,simulated,2479.0233333333335
s001,2,C,m,,,,X,X,X,X,R,X,X,X,X,,,,L,X,R,L,simulated,simulated,2325.5506349206353
s002,2,R,f,,,,,,,X,L,R,R,R,R,R,L,R,L,L,R,R,simulated,simulated,2452.749008584008
s003,3,L,b,L2,L2,L3,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R3,R2,simulated,simulated,2517.6444444444446
s004,2,R,m,,,,,,,X,X,X,X,X,X,X,X,X,L,L,X,R,simulated,simulated,2471.391111111111
s005,3,L,a,R1,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R3,R3,simulated,simulated,2477.866666666667
s006,3,C,f,,,,L3,R2,L3,L3,L3,L3,R3,R2,R2,,,,L1,L1,R1,R1,simulated,simulated,2445.6077777777778
s007,2,C,b,,,,L,R,R,R,R,R,R,X,R,,,,L,L,X,R,simulated,simulated,2399.7448584748586
s008,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,X,simulated,simulated,2516.2972620897617
s009,3,C,a,,,,L3,L3,L3,L3,L3,R3,R3,R3,R3,,,,L2,L1,R2,L1,simulated,simulated,2370.1333333333337
s010,3,L,f,L2,L2,L2,L2,R3,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2504.136984126984
s011,2,R,b,,,,,,,R,R,X,R,R,R,R,R,L,L,L,R,R,simulated,simulated,2452.3555096755094
s012,3,R,b,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,L1,L3,R1,R3,simulated,simulated,2538.777777777778
s013,2,L,a,L,R,L,X,L,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2449.586957671958
s014,2,C,f,,,,X,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2440.339183779184
s015,3,C,m,,,,R2,X1,R3,R3,R3,R3,X1,R3,R3,,,,L1,L3,R1,R1,simulated,simulated,2436.931111111111
s016,2,L,b,L,L,X,X,X,X,X,X,R,,,,,,,L,R,R,R,simulated,simulated,2399.2802116402117
s017,3,L,m,L2,L3,L3,L3,R2,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2504.9577777777777
s018,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,R2,L2,R2,L3,L1,R1,R1,simulated,simulated,2456.2944444444447
s019,2,C,a,,,,L,L,L,L,L,R,R,X,R,,,,L,L,R,R,simulated,simulated,2464.1615488215493
s020,3,L,m,L2,L2,L1,L2,L3,R3,L3,L3,L3,,,,,,,L1,L3,R1,R1,simulated,simulated,2486.95
s021,3,R,f,,,,,,,R2,R3,R3,R3,R2,R2,L1,R2,R2,L1,L1,R1,R1,simulated,simulated,2475.3358730158734
s022,2,C,a,,,,L,L,L,L,L,L,X,X,R,,,,L,L,X,X,simulated,simulated,2404.9739995189993
s023,2,L,b,L,L,L,L,X,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2521.222972582973
s024,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R1,R2,,,,L1,L3,R1,R1,simulated,simulated,2476.4900000000002
s025,2,R,a,,,,,,,X,X,X,X,R,R,R,R,R,L,L,R,R,simulated,simulated,2524.84303992304
s026,3,R,m,,,,,,,R1,R3,R3,L1,R3,L3,R3,R3,R3,L1,L1,R2,R1,simulated,simulated,2432.397777777778
s027,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
