P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,STIMULI,POOL,SCORE
s000,3,R,a,,,,,,,L3,R3,R3,R3,R3,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2541.6222222222223
s001,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s002,2,R,f,,,,,,,L,L,L,L,L,R,R,R,R,L,L,R,R,simulated,simulated,2470.6035594035598
s003,3,L,b,L2,L2,L2,L2,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2486.266666666667
s004,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s005,3,L,a,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.6833333333334
s006,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2497.7388888888886
s007,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s008,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s009,3,C,a,,,,L3,L3,L3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2492.9055555555556
s010,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s011,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s012,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s013,2,L,a,L,L,L,L,L,L,L,X,L,,,,,,,L,L,R,R,simulated,simulated,2535.8302871202873
s014,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s015,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s016,2,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2470.6035594035598
s017,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s018,3,R,f,,,,,,,L3,L3,L3,L3,L3,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2486.2666666666673
s019,2,C,a,,,,L,L,L,X,X,R,R,R,R,,,,L,L,R,R,simulated,simulated,2473.532056277056
s020,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s021,3,R,f,,,,,,,L3,L3,L3,L3,L3,R3,R3,R3,R3,L1,L1,R1,R1,simulated,simulated,2485.5888888888894
s022,2,C,a,,,,L,L,L,L,X,X,R,R,R,,,,L,L,R,R,simulated,simulated,2473.5320562770567
s023,2,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2470.6035594035598
s024,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s025,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s026,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s027,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s028,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s029,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s030,2,R,f,,,,,,,L,L,L,L,L,R,R,R,R,L,L,R,R,simulated,simulated,2470.6035594035598
s031,3,L,b,L3,L3,L3,L3,L3,L3,L3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2529.2111111111117
s032,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s033,3,L,a,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s034,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2497.7388888888886
s035,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s036,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
