P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE
p1_001,3,R,a,,,,,,,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,2,1,prolific1,2244.195267510268
p1_001,2,C,m,,,,X,X,X,X,X,X,X,R,X,,,,L,L,R,R,0,2,prolific1,2490.8029365079365
p1_001,2,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,4,prolific1,2506.9316022866024
p1_001,3,L,b,L2,L2,L2,L2,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2486.266666666667
p1_002,2,R,m,,,,,,,X,X,X,X,X,X,X,X,R,X,X,X,R,3,1,prolific1,2347.521613756614
p1_002,3,L,a,L2,L2,L2,L3,L3,L3,L3,R3,R3,,,,,,,L1,L1,R1,R1,0,2,prolific1,2527.05
p1_002,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R3,0,4,prolific1,2496.561111111111
p1_002,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2477.903201705702
p1_003,2,L,m,L,X,L,R,L,R,X,X,X,,,,,,,L,L,R,R,0,4,prolific1,2430.345264550265
p1_003,3,C,a,,,,L2,L2,L2,L2,L2,L2,L2,R2,R2,,,,L1,L1,R1,R1,0,3,prolific1,2482.8034920634923
p1_003,3,L,f,L2,L2,L2,L2,L2,L2,X1,X1,X1,,,,,,,L1,L1,R2,R1,0,1,prolific1,2533.333333333334
p1_003,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,X,X,2,2,prolific1,2468.94878972879
p1_004,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_004,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_004,2,C,f,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,4,prolific1,2477.1562578162584
p1_004,3,C,m,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,0,2,prolific1,2497.738888888889
p1_005,2,L,b,R,R,R,R,R,R,R,R,R,,,,,,,L,L,R,X,1,4,prolific1,2356.8987573537574
p1_005,3,L,m,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889
p1_005,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,R2,X1,R2,L1,L1,R1,R3,0,2,prolific1,2506.072222222222
p1_005,2,C,a,,,,X,X,X,X,X,X,X,R,X,,,,L,L,R,R,0,3,prolific1,2490.8029365079365
p1_006,3,L,m,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,2,prolific1,2508.088888888889
p1_006,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2521.7222222222226
p1_006,2,C,a,,,,L,L,L,L,L,L,R,R,L,,,,L,L,R,R,0,3,prolific1,2456.388857808858
p1_006,2,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_007,3,C,b,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,0,4,prolific1,2508.0888888888894
p1_007,2,R,a,,,,,,,L,L,L,X,X,X,X,R,R,L,L,R,R,0,1,prolific1,2467.691560846561
p1_007,3,R,m,,,,,,,X1,X1,X1,X1,X1,X1,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2521.7222222222226
p1_007,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_008,3,R,a,,,,,,,X1,X1,X1,X1,X1,X1,R2,R2,R2,L1,L1,R1,R1,0,1,prolific1,2521.7222222222226
p1_008,2,C,m,,,,X,L,X,X,L,X,X,X,R,,,,L,L,L,R,1,2,prolific1,2360.344047619048
p1_008,2,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_008,3,L,b,L3,L3,L3,L3,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2485.5888888888894
p1_009,2,R,m,,,,,,,L,L,L,X,X,X,R,R,R,L,L,R,R,0,1,prolific1,2474.5122222222226
p1_009,3,L,a,L2,L2,R2,L2,R2,R2,R2,R2,R2,,,,,,,L1,L1,R1,R1,0,2,prolific1,2445.9236507936507
p1_009,3,C,f,,,,L3,L3,L3,L3,R2,R2,R2,R2,R2,,,,R3,R3,R1,R1,2,4,prolific1,2330.3376190476192
p1_009,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894
p1_010,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_010,2,L,a,L,L,L,L,L,L,L,R,R,,,,,,,X,L,R,R,1,1,prolific1,2474.2894696044696
p1_010,2,C,f,,,,L,L,L,L,L,L,L,L,R,,,,L,L,R,X,1,4,prolific1,2440.9179516779514
p1_010,3,C,m,,,,L2,R2,R2,R2,R1,R2,R2,R1,R1,,,,L1,L1,X1,X1,2,2,prolific1,2370.5563492063493
p1_011,2,L,m,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,4,prolific1,2535.4665569615568
p1_011,3,C,a,,,,L2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,3,prolific1,2482.2268253968255
p1_011,3,L,f,L1,R2,L1,R1,R2,L2,L1,R2,L1,,,,,,,L2,R1,L2,R1,2,1,prolific1,2176.07
p1_011,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_012,3,C,b,,,,R2,R2,R2,R2,R2,R2,R2,R2,L3,,,,L1,L3,R1,R1,0,2,prolific1,2417.3246560846565
p1_012,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L2,L1,R1,R3,0,4,prolific1,2545.2444444444445
p1_012,2,R,a,,,,,,,L,X,X,X,X,X,X,X,R,L,L,R,R,0,3,prolific1,2492.1836507936505
p1_012,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,X,L,R,R,1,1,prolific1,2506.9316022866024
p1_013,3,C,a,,,,L2,L2,L3,L3,L3,L3,L3,L3,R3,,,,X1,L1,R2,R1,1,1,prolific1,2435.661111111111
p1_013,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_013,2,R,b,,,,,,,X,X,X,X,X,X,X,X,X,L,L,X,R,1,3,prolific1,2471.391111111111
p1_013,3,L,f,L2,L2,L2,L2,L2,R2,R2,R2,R2,,,,,,,L1,L1,R1,R1,0,2,prolific1,2492.535555555555
p1_014,2,L,a,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,0,1,prolific1,2542.2136204536205
p1_014,2,C,f,,,,L,X,X,X,R,X,X,X,X,,,,L,L,R,R,0,2,prolific1,2466.8747619047617
p1_014,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,R2,R2,,,,L1,L2,R1,R1,0,4,prolific1,2494.077777777778
p1_014,3,R,b,,,,,,,X1,X1,L2,X1,R2,R2,R2,R2,R2,L1,L1,X1,R1,1,3,prolific1,2453.866666666667
p1_015,2,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2478.3723328523324
p1_015,3,R,f,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_015,2,L,b,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,1,prolific1,2535.4665569615568
